pl_name,hostname,sy_snum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
BD+03 2562 b,BD+03 2562,1,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.63,63.875,-63.875,8.9977,0.000292,-0.000292
BD+14 4559 b,BD+14 4559,1,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0846,-0.0844,9.35108,0.000253,-0.000253
BD+15 2375 b,BD+15 2375,1,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.045,45.038,-45.038,9.9918,0.000458,-0.000458
BD+15 2940 b,BD+15 2940,1,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,6.44,-6.44,8.7178,0.000291,-0.000291
BD+20 2457 b,BD+20 2457,1,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,189.925,-189.925,9.22684,0.000442,-0.000442
BD+20 2457 c,BD+20 2457,1,10h16m44.83s,154.186782,+19d53m28.55s,19.8912626,1539.71,189.925,-189.925,9.22684,0.000442,-0.000442
BD+20 274 b,BD+20 274,1,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.51,80.535,-80.535,8.91613,0.000468,-0.000468
BD+20 594 b,BD+20 594,1,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.461,1.257,-1.24,10.8644,0.000249,-0.000249
BD+45 564 b,BD+45 564,1,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,0.1919,-0.1905,9.41266,0.000255,-0.000255
BD+48 738 b,BD+48 738,1,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,43.849,-43.849,8.65569,0.000365,-0.000365
BD+48 740 b,BD+48 740,1,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.589,21.5335,-21.5335,8.26449,0.000761,-0.000761
BD+49 828 b,BD+49 828,1,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.042,7.654,-7.654,9.02851,0.000235,-0.000235
BD+55 362 b,BD+55 362,1,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,0.0974,-0.0971,9.15305,0.000163,-0.000163
BD+60 1417 b,BD+60 1417,1,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543,0.0593,-0.0592,9.17439,0.000533,-0.000533
BD+63 1405 b,BD+63 1405,1,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473,0.0329,-0.0329,8.705,0.000257,-0.000257
BD-06 1339 b,BD-06 1339,1,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,0.022,-0.0218,9.10677,0.000602,-0.000602
BD-06 1339 c,BD-06 1339,1,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695,0.022,-0.0218,9.10677,0.000602,-0.000602
BD-08 2823 b,BD-08 2823,1,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,0.0685,-0.0682,9.50331,0.000418,-0.000418
BD-08 2823 c,BD-08 2823,1,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,0.0685,-0.0682,9.50331,0.000418,-0.000418
